type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,BasketID,Duration
Long,2019-01-07 11:15:00,2019-01-07 14:15:00,465.5,460.35,Long,105,-5.149999999999977,-540.7499999999976,981479.0999999997,SL,DREDGECORP,0 days 03:00:00
Long,2019-01-07 11:15:00,2019-01-07 14:15:00,32.9,33.45,Long,1491,0.5500000000000043,820.0500000000063,982299.1499999998,TP,DBREALTY,0 days 03:00:00
Long,2019-01-07 12:15:00,2019-01-07 15:15:00,0.9,0.95,Long,54572,0.04999999999999993,2728.5999999999963,985027.7499999998,TP,GTLINFRA,0 days 03:00:00
Long,2019-01-07 13:15:00,2019-01-08 09:15:00,29.35,29.55,Long,1678,0.1999999999999993,335.59999999999883,985363.3499999997,TP,RPOWER,0 days 20:00:00
Long,2019-01-07 13:15:00,2019-01-08 09:15:00,42.1,41.8,Long,1170,-0.30000000000000426,-351.000000000005,985012.3499999997,SL,DISHTV,0 days 20:00:00
Long,2019-01-07 13:15:00,2019-01-08 09:15:00,204.9,203.2,Long,240,-1.700000000000017,-408.0000000000041,984604.3499999997,SL,ABFRL,0 days 20:00:00
Long,2019-01-07 13:15:00,2019-01-08 09:15:00,304.25,300.0,Long,161,-4.25,-684.25,983920.0999999997,SL,RELINFRA,0 days 20:00:00
Long,2019-01-07 14:15:00,2019-01-08 10:15:00,1.3,1.3,Long,37843,0.0,0.0,983920.0999999997,SL,BCG,0 days 20:00:00
Long,2019-01-07 14:15:00,2019-01-08 10:15:00,511.5,516.4,Long,96,4.899999999999977,470.3999999999978,984390.4999999998,TP,MUTHOOTFIN,0 days 20:00:00
Long,2019-01-07 14:15:00,2019-01-08 10:15:00,3.55,3.55,Long,13864,0.0,0.0,984390.4999999998,SL,URJA,0 days 20:00:00
Long,2019-01-07 15:15:00,2019-01-08 11:15:00,33.45,31.65,Long,1471,-1.8000000000000043,-2647.800000000006,981742.6999999997,SL,DBREALTY,0 days 20:00:00
Long,2019-01-07 15:15:00,2019-01-08 11:15:00,60.95,62.4,Long,805,1.4499999999999957,1167.2499999999966,982909.9499999997,TP,NBCC,0 days 20:00:00
Long,2019-01-07 15:15:00,2019-01-08 11:15:00,25.55,25.55,Long,1923,0.0,0.0,982909.9499999997,SL,SJVN,0 days 20:00:00
Long,2019-01-07 15:15:00,2019-01-08 11:15:00,50.65,51.65,Long,970,1.0,970.0,983879.9499999997,TP,ADANIPOWER,0 days 20:00:00
Long,2019-01-08 09:15:00,2019-01-08 12:15:00,2.05,2.05,Long,23997,0.0,0.0,983879.9499999997,SL,JPPOWER,0 days 03:00:00
Long,2019-01-08 09:15:00,2019-01-08 12:15:00,3.8,3.9,Long,12945,0.10000000000000009,1294.5000000000011,985174.4499999997,TP,RAMASTEEL,0 days 03:00:00
Long,2019-01-08 09:15:00,2019-01-08 12:15:00,6.9,7.0,Long,7138,0.09999999999999964,713.7999999999975,985888.2499999998,TP,AILIMITED-SM,0 days 03:00:00
Long,2019-01-08 10:15:00,2019-01-08 13:15:00,60.1,59.0,Long,820,-1.1000000000000014,-902.0000000000011,984986.2499999998,SL,BEPL,0 days 03:00:00
Long,2019-01-08 10:15:00,2019-01-08 13:15:00,1.3,1.3,Long,37884,0.0,0.0,984986.2499999998,SL,BCG,0 days 03:00:00
Long,2019-01-08 10:15:00,2019-01-08 13:15:00,23.35,23.95,Long,2109,0.5999999999999979,1265.3999999999955,986251.6499999998,TP,HFCL,0 days 03:00:00
Long,2019-01-08 10:15:00,2019-01-08 13:15:00,0.95,0.95,Long,51907,0.0,0.0,986251.6499999998,SL,GTLINFRA,0 days 03:00:00
Long,2019-01-08 11:15:00,2019-01-08 14:15:00,52.2,51.3,Long,944,-0.9000000000000057,-849.6000000000054,985402.0499999998,SL,ADANIPOWER,0 days 03:00:00
Long,2019-01-08 12:15:00,2019-01-08 15:15:00,3.55,3.5,Long,13878,-0.04999999999999982,-693.8999999999976,984708.1499999998,SL,URJA,0 days 03:00:00
Long,2019-01-08 12:15:00,2019-01-08 15:15:00,218.5,217.75,Long,225,-0.75,-168.75,984539.3999999998,SL,AMBUJACEM,0 days 03:00:00
Long,2019-01-08 12:15:00,2019-01-08 15:15:00,745.05,747.4,Long,66,2.3500000000000227,155.1000000000015,984694.4999999998,TP,AUROPHARMA,0 days 03:00:00
Long,2019-01-08 12:15:00,2019-01-08 15:15:00,91.0,89.6,Long,541,-1.4000000000000057,-757.400000000003,983937.0999999997,SL,INDIACEM,0 days 03:00:00
